sheet	block	row	pno	pname	mach	tool	dwg	rev	std	note	grey
M-BODY	1	7	0091	BLANK HEAD※Male screw おねじ		BODY COLLET	4007-04			MAZAK QTN200, JIG：Shank MAX+0.02	0
M-BODY	1	8	0311	MILL	OKK	HYDRA GRIP	4516-01-		RE33034	THAI use insert R0.8，1.5，2.3，2.5，3.0，3.3，4.0，5.0(see note1)＆45° ⏎ Hard material (15-5PH・17-4PH・PH13-8Mo) only(see note2) ⏎ Note1：If the drawing specifies an R-value outside of this range,use KINMEI. ⏎ Note2：For soft materials （4340・4130・8620・carburizing cres or etc）,use KINMEI, ⏎ because using HYDRA will cause scratches and indentations. ⏎ If cutting length exceeds 50 mm, pay attention to the interference between cutter shaft and work tip.	0
M-BODY	1	9	0311	MILL	KINMEI	BODY HOLDER (LOWER SIDE)	4009-01-		RE33036	For Soft materials (not PH materials) & special R body,use KINMEI, ⏎ Check the set status with 4012-01-0001-99(see note). ⏎ Note：4012-01-0001-99 is for OKK, so it's slightly different from KINMEI, but it can be confirmed. ⏎ CLAMP PIECE Hard Material：4009-02-XXXX (material：S45C) ⏎ Soft Material：4009-05-XXXX (material：C1100)	0
M-BODY	1	10	0311	MILL	KINMEI	CLAMP PIECE	4009-02-				0
M-BODY	1	11	0311	MILL	KINMEI		4009-05-				0
M-BODY	1	12	0101	ROUGH FINISH ID		BODY HOLDER (NEW TYPE)	4651-20-		RE33033	・OD MAX 55 ・JIG A=OD MAX	0
M-BODY	1	13	0101	ROUGH FINISH ID		BODY HOLDER	4651-12-		RE33024	・OD MAX 68 ・JIG A=OD MAX ⏎ ・OLD TYPE (Used when there is no new type)	0
M-BODY	1	14	0101	ROUGH FINISH ID		CLAMP PLATE	4651-13-				0
M-BODY	1	15	0351 ⏎ 0041	FINISH ID ⏎ CHAMFER		BODY HOLDER(NEW TYPE)	4651-20		RE33033	・OD MAX 55 ・JIG A=OD MAX	0
M-BODY	1	16	0351 ⏎ 0041	FINISH ID ⏎ CHAMFER		BODY HOLDER	4651-12-		RE33024	・OD MAX 68 ・JIG A=OD MAX ⏎ ・OLD TYPE (Used when there is no new type)	0
M-BODY	1	17	0351 ⏎ 0041	FINISH ID ⏎ CHAMFER		CLAMP PLATE	4651-13-				0
M-BODY	1	18	0451	RECESS ⏎ (ID)		INSERT	Q-51-			NMF-	0
M-BODY	1	19	0451	RECESS ⏎ (ID)		INSERT	Q-51-			NMF-	0
M-BODY	1	20	0451	RECESS ⏎ (ID)		HOLDER	MXC-				0
M-BODY	1	21	0451	RECESS ⏎ (ID)		HOLDER	MXC-				0
M-BODY	1	22	1121 ⏎ 1061	⏎ ID SPH GRIND ⏎ ID GRIND	KN-113A	BACKING PLATE	4853-01-				0
M-BODY	1	23	1121 ⏎ 1061	⏎ ID SPH GRIND ⏎ ID GRIND	KN-113A	JAW	4853-06-				0
M-BODY	1	24	1121 ⏎ 1061	⏎ ID SPH GRIND ⏎ ID GRIND	KN-113A	GAUGE	4853-07-				0
M-BODY	1	25	1121 ⏎ 1061	⏎ ID SPH GRIND ⏎ ID GRIND	KN-113A	QUILL	4853-05-			Selection not required,Confirmation to RECIPRO member	1
M-BODY	1	26	1121 ⏎ 1061	⏎ ID SPH GRIND ⏎ ID GRIND	KN-113A	WHEEL	4853-14-			Selection not required,Confirmation to RECIPRO member	1
M-BODY	1	27	1121 ⏎ 1061	⏎ ID SPH GRIND ⏎ ID GRIND	KN-113A	ROTARY DREESER	4800-42-			DDxxxx	0
M-BODY	1	28	0411	LUBE FIT HOLE		ASSY	4693-05-			・ASSY inform THAI	0
M-BODY	1	29	0411	LUBE FIT HOLE		ARBOR	4693-05-				0
M-BODY	1	30	0411	LUBE FIT HOLE		BLOCK	4693-05-				0
